College,Branch,ClosingRank
IIT Bombay,Aerospace Engineering,63
IIT Kanpur,Aerospace Engineering,93
IIT Madras,Aerospace Engineering,188
IIT Kharagpur,Aerospace Engineering,192
IIT Kharagpur,Aerospace Engineering(5 years),217
IIT Madras,Aerospace Engineering(B.TECH + M.TECH. (DUAL DEGREE)),283
IIT Kharagpur,Agricultural and Food Engineering,296
IIT Kharagpur,Agricultural and Food Engineering with M.Tech. in any of the listed specializations(5 years),314
IIT Kharagpur,Applied Geology(5 years),378
ISM Dhanbad,Applied Geology(5 years),412
ISM Dhanbad,Applied Geophysics(5 years),441
IIT Roorkee,Applied Mathematics(Integrated M.Sc.),469
IIT Hyderabad,Artificial Intelligence,572
IIT Mandi,Bio Engineering,588
IIT Jodhpur,Bio Engineering,616
IIT Roorkee,Bio Technology,694
IIT Guwahati,Bio Technology,697
IIT BHU,Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology(5 years),722
IIT BHU,Bioengineering with M.Tech in Biomedical Technology(5 years),796
IIT Madras,Biological Engineering(B.TECH + M.TECH. (DUAL DEGREE)),802
IIT Kanpur,Biological Sciences and Bioengineering,932
IIT Madras,Biological Sciences(B.Sc. + M.Sc. (DUAL DEGREE)),970
IIT Delhi,Biotechnology and Biochemical Engineering,994
IIT Kharagpur,Biotechnology and Biochemical Engineering,999
IIT Kharagpur,Biotechnology and Biochemical Engineering(5 years),1059
IIT BHU,Ceramic Engineering,1067
IIT BHU,Ceramic Engineering(5 years),1085
IIT Bombay,Chemical Engineering,1198
IIT Delhi,Chemical Engineering,1222
IIT Madras,Chemical Engineering,1290
IIT Kanpur,Chemical Engineering,1294
IIT Kharagpur,Chemical Engineering,1385
IIT Roorkee,Chemical Engineering,1417
IIT Guwahati,Chemical Engineering,1436
IIT Hyderabad,Chemical Engineering,1503
IIT BHU,Chemical Engineering,1548
IIT Gandhinagar,Chemical Engineering,1631
IIT Ropar,Chemical Engineering,1729
ISM Dhanbad,Chemical Engineering,1739
IIT Patna,Chemical Engineering,1856
IIT Tirupati,Chemical Engineering,1868
IIT Jammu,Chemical Engineering,1924
IIT Delhi,Chemical Engineering(5 years),1925
IIT Kharagpur,Chemical Engineering(5 years),1940
IIT Guwahati,Chemical Science and Technology,2028
IIT Kharagpur,Chemistry(5 years),2032
IIT Bombay,Chemistry(B.Sc. 4 year),2049
IIT Kanpur,Chemistry(B.Sc. 4 year),2082
IIT Roorkee,Chemistry(Integrated M.Sc.),2088
IIT Bombay,Civil Engineering,2108
IIT Delhi,Civil Engineering,2238
IIT Kanpur,Civil Engineering,2259
IIT Madras,Civil Engineering,2298
IIT Roorkee,Civil Engineering,2376
IIT Hyderabad,Civil Engineering,2463
IIT Guwahati,Civil Engineering,2569
IIT Kharagpur,Civil Engineering,2606
IIT BHU,Civil Engineering,2617
IIT Indore,Civil Engineering,2693
IIT Gandhinagar,Civil Engineering,2694
ISM Dhanbad,Civil Engineering,2733
IIT Bhubaneswar,Civil Engineering,2748
IIT Mandi,Civil Engineering,2849
IIT Ropar,Civil Engineering,2856
IIT Patna,Civil Engineering,3005
IIT Palakkad,Civil Engineering,3026
IIT Tirupati,Civil Engineering,3110
IIT Jammu,Civil Engineering,3154
IIT Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering(5 years),3253
IIT Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering(5 years),3293
IIT Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering(5 years),3299
IIT Kharagpur,Civil Engineering with any of the listed specialization(5 years),3308
IIT BHU,Civil Engineering(5 years),3363
IIT Bombay,Computer Science and Engineering,3417
IIT Delhi,Computer Science and Engineering,3429
IIT Madras,Computer Science and Engineering,3430
IIT Kanpur,Computer Science and Engineering,3491
IIT Kharagpur,Computer Science and Engineering,3497
IIT Roorkee,Computer Science and Engineering,3501
IIT Guwahati,Computer Science and Engineering,3516
IIT Hyderabad,Computer Science and Engineering,3551
IIT BHU,Computer Science and Engineering,3609
IIT Indore,Computer Science and Engineering,3612
IIT Gandhinagar,Computer Science and Engineering,3620
IIT Ropar,Computer Science and Engineering,3635
IIT Bhubaneswar,Computer Science and Engineering,3650
IIT Patna,Computer Science and Engineering,3691
IIT Mandi,Computer Science and Engineering,3773
ISM Dhanbad,Computer Science and Engineering,3785
IIT Jodhpur,Computer Science and Engineering,3822
IIT Tirupati,Computer Science and Engineering,3865
IIT Goa,Computer Science and Engineering,4000
IIT Palakkad,Computer Science and Engineering,4010
IIT Dharwad,Computer Science and Engineering,4020
IIT Bhilai,Computer Science and Engineering,4069
IIT Jammu,Computer Science and Engineering,4242
IIT Delhi,Computer Science and Engineering(5 years),4268
IIT Kharagpur,Computer Science and Engineering(5 years),4384
IIT BHU,Computer Science and Engineering(5 years),4403
IIT Bhubaneswar,Computer Science and Engineering(5 years),4440
IIT Mandi,Data Science and Engineering,4476
IIT Kanpur,Earth Sciences(B.Sc. 4 year),4656
IIT Kharagpur,Economics(5 years),4681
IIT Bombay,Economics(B.Sc. 4 year),4689
IIT Kanpur,Economics(B.Sc. 4 year),4713
IIT Patna,Electrical and Electronics Engineering,4839
IIT Bombay,Electrical Engineering,4869
IIT Delhi,Electrical Engineering,4886
IIT Madras,Electrical Engineering,4915
IIT Kanpur,Electrical Engineering,4990
